Name,Position,Role,Salary,Salary_M,Predicted_PPG,Value_Ratio
Leon Draisaitl,C,A,8500000,8.5,1.7507143064099162,0.2059663889894019
Player A 15,L,A,3271836,3.271836,1.5665430905410145,0.4787963365342928
Player A 16,L,A,5299435,5.299435,1.5334488357206082,0.28936081595879715
Player A 43,L,A,7270070,7.27007,1.4857004299158425,0.20435847659181308
Player A 36,C,A,3769598,3.769598,1.4853399552408715,0.3940313941276687
Player A 27,R,A,6853339,6.853339,1.449413768463153,0.21149016099497675
Player A 6,L,A,6275709,6.275709,1.363693557532315,0.21729713049670005
Player A 25,R,A,4737095,4.737095,1.301907884845086,0.27483254712964084
Player A 38,L,A,3973548,3.973548,1.0938252004318405,0.27527670495784634
Player A 42,L,A,5009021,5.009021,1.0932764661072158,0.218261505812656
Player A 49,R,A,3061087,3.061087,1.0706696839177028,0.349767805984509
Player A 19,C,A,4007293,4.007293,0.8578633638395908,0.21407552775392039
Victor Hedman,D,D,7875000,7.875,1.092940916619948,0.13878614814221563
Player D 27,D,D,5945376,5.945376,0.7729830819274965,0.13001416259080947
Player D 26,D,D,2571295,2.571295,0.662425945369236,0.25762347197394153
Player D 6,D,D,2725281,2.725281,0.651875316260203,0.23919563386682072
Player G 11,G,G,3668234,3.668234,1.2420714947988527,0.33860203433010344
Player G 5,G,G,3117796,3.117796,1.194372708870406,0.38308237898515685
